op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
CUTENSOR_OP_COSH,fp32,kernel,[[8388608]],0.249577,0.130942,1.9060
CUTENSOR_OP_COSH,fp32,kernel,"[[128,128]]",0.007712,0.003904,1.9754
CUTENSOR_OP_COSH,fp32,kernel,"[[32,64,16]]",0.008654,0.004327,2.0000
CUTENSOR_OP_COSH,fp32,kernel,"[[64,256]]",0.007712,0.003904,1.9754
CUTENSOR_OP_COSH,fp32,kernel,"[[16,64,64]]",0.008654,0.005000,1.7308
CUTENSOR_OP_COSH,fp32,kernel,"[[256,512]]",0.009404,0.005654,1.6633
CUTENSOR_OP_COSH,fp32,kernel,"[[128,1024]]",0.009750,0.005712,1.7071
CUTENSOR_OP_COSH,fp32,kernel,"[[64,64,64]]",0.012808,0.008173,1.5671
CUTENSOR_OP_COSH,fp32,kernel,"[[128,128,64]]",0.034365,0.024365,1.4104
CUTENSOR_OP_COSH,fp16,kernel,[[1024]],0.007135,0.003404,2.0960
CUTENSOR_OP_COSH,fp16,kernel,[[2048]],0.006231,0.003462,1.8000
CUTENSOR_OP_COSH,fp16,kernel,[[4096]],0.006385,0.003481,1.8343
CUTENSOR_OP_COSH,fp16,kernel,[[8192]],0.006692,0.003635,1.8413
CUTENSOR_OP_COSH,fp16,kernel,[[16384]],0.007096,0.003808,1.8636
CUTENSOR_OP_COSH,fp16,kernel,[[32768]],0.007769,0.004115,1.8879
CUTENSOR_OP_COSH,fp16,kernel,[[65536]],0.008058,0.004365,1.8458
CUTENSOR_OP_COSH,fp16,kernel,[[131072]],0.008538,0.004808,1.7760
CUTENSOR_OP_COSH,fp16,kernel,[[262144]],0.010269,0.005731,1.7919
CUTENSOR_OP_COSH,fp16,kernel,[[524288]],0.013519,0.008019,1.6859
CUTENSOR_OP_COSH,fp16,kernel,[[1048576]],0.021288,0.013192,1.6137
CUTENSOR_OP_COSH,fp16,kernel,[[2097152]],0.035827,0.024308,1.4739
CUTENSOR_OP_COSH,fp16,kernel,[[4194304]],0.062769,0.045404,1.3825
CUTENSOR_OP_COSH,fp16,kernel,[[8388608]],0.141596,0.073538,1.9255
CUTENSOR_OP_COSH,fp16,kernel,"[[128,128]]",0.007135,0.003769,1.8929
CUTENSOR_OP_COSH,fp16,kernel,"[[32,64,16]]",0.007750,0.003885,1.9950
CUTENSOR_OP_COSH,fp16,kernel,"[[64,256]]",0.007077,0.003808,1.8586
CUTENSOR_OP_COSH,fp16,kernel,"[[16,64,64]]",0.008058,0.004231,1.9045
CUTENSOR_OP_COSH,fp16,kernel,"[[256,512]]",0.008481,0.004827,1.7570
CUTENSOR_OP_COSH,fp16,kernel,"[[128,1024]]",0.008462,0.004750,1.7814
CUTENSOR_OP_COSH,fp16,kernel,"[[64,64,64]]",0.010346,0.005731,1.8054
CUTENSOR_OP_COSH,fp16,kernel,"[[128,128,64]]",0.021250,0.013269,1.6014
CUTENSOR_OP_EXP,bf16,kernel,[[1024]],0.007438,0.003708,2.0062
CUTENSOR_OP_EXP,bf16,kernel,[[2048]],0.006404,0.003808,1.6818
CUTENSOR_OP_EXP,bf16,kernel,[[4096]],0.006635,0.004404,1.5066
CUTENSOR_OP_EXP,bf16,kernel,[[8192]],0.007231,0.003962,1.8252
CUTENSOR_OP_EXP,bf16,kernel,[[16384]],0.008365,0.004519,1.8511
CUTENSOR_OP_EXP,bf16,kernel,[[32768]],0.010250,0.005519,1.8571
CUTENSOR_OP_EXP,bf16,kernel,[[65536]],0.010558,0.005712,1.8485
CUTENSOR_OP_EXP,bf16,kernel,[[131072]],0.010904,0.006019,1.8115
CUTENSOR_OP_EXP,bf16,kernel,[[262144]],0.012519,0.006981,1.7934
CUTENSOR_OP_EXP,bf16,kernel,[[524288]],0.015808,0.009019,1.7527
CUTENSOR_OP_EXP,bf16,kernel,[[1048576]],0.023192,0.014250,1.6275
CUTENSOR_OP_EXP,bf16,kernel,[[2097152]],0.037577,0.025173,1.4927
CUTENSOR_OP_EXP,bf16,kernel,[[4194304]],0.064654,0.046596,1.3875
